Location,Total_word_count
AK_Anchorage,1257897.0
AK_Homer,234526.0
AK_Kenai,417225.0
AK_Palmer,231411.0
AK_Petersburg,83206.0
AK_Sitka,258958.0
AK_Yakutat,155766.0
AL_Athens,257037.0
AL_Auburn,259253.0
AL_Bessemer,251674.0
AL_Birmingham,706248.0
AL_Chickasaw,53210.0
AL_Citronelle,136947.0
AL_Clanton,142384.0
AL_Decatur,392488.0
AL_Dothan,281968.0
AL_Enterprise,163518.0
AL_Eufaula,142137.0
AL_Fairhope,291452.0
AL_Foley,233044.0
AL_Fultondale,44697.0
AL_Guntersville,206174.0
AL_Hartselle,173985.0
AL_Huntsville,553574.0
AL_Lincoln,75953.0
AL_Madison,291821.0
AL_Mobile,408965.0
AL_Monroeville,198254.0
AL_MountainBrook,204662.0
AL_Oneonta,126795.0
AL_Opelika,437865.0
AL_Opp,141924.0
AL_Prattville,177199.0
AL_RainbowCity,50267.0
AL_Roanoke,18683.0
AL_Scottsboro,137123.0
AL_Southside,172528.0
AL_Talladega,13487.0
AL_Trussville,239829.0
AL_Valley,141291.0
AL_VestaviaHills,192935.0
AR_Bentonville,147365.0
AR_Bryant,165263.0
AR_CherokeeVillage,23426.0
AR_Clarksville,107554.0
AR_Conway,291100.0
AR_Fayetteville,309660.0
AR_ForrestCity,104674.0
AR_Greenwood,45136.0
AR_HotSprings,383865.0
AR_Jacksonville,190952.0
AR_Malvern,136471.0
AR_NorthLittleRock,192928.0
AR_PineBluff,278973.0
AR_Rogers,288802.0
AR_SiloamSprings,181243.0
AR_Springdale,231409.0
AR_Trumann,40789.0
AZ_ApacheJunction,313133.0
AZ_Avondale,324952.0
AZ_Benson,150262.0
AZ_CasaGrande,201897.0
AZ_CaveCreek,176671.0
AZ_ChinoValley,184908.0
AZ_Cottonwood,221477.0
AZ_Douglas,281303.0
AZ_Eagar,184113.0
AZ_ElMirage,183240.0
AZ_Florence,212600.0
AZ_Gilbert,396798.0
AZ_Glendale,437186.0
AZ_Goodyear,362955.0
AZ_Guadalupe,112818.0
AZ_Holbrook,95367.0
AZ_Kingman,203208.0
AZ_LakeHavasuCity,288644.0
AZ_Marana,265600.0
AZ_Mesa,916241.0
AZ_OroValley,380438.0
AZ_Peoria,560856.0
AZ_Phoenix,1081381.0
AZ_PinetopLakeside,180222.0
AZ_QueenCreek,317834.0
AZ_Sahuarita,283382.0
AZ_SanLuis,166103.0
AZ_Sedona,248910.0
AZ_Snowflake,96757.0
AZ_Superior,129647.0
AZ_Taylor,122645.0
AZ_Tempe,479852.0
AZ_Thatcher,163152.0
AZ_Tolleson,208269.0
AZ_Tucson,868176.0
AZ_Willcox,139939.0
AZ_Williams,138084.0
AZ_Winslow,175744.0
AZ_Youngtown,156300.0
AZ_Yuma,318274.0
CA_AgouraHills,290231.0
CA_Alhambra,529804.0
CA_AmericanCanyon,360724.0
CA_Anaheim,763690.0
CA_Anderson,281068.0
CA_Arcadia,681777.0
CA_ArroyoGrande,331597.0
CA_Avalon,252079.0
CA_Avenal,236068.0
CA_Bakersfield,404960.0
CA_BaldwinPark,309256.0
CA_Banning,396716.0
CA_Barstow,338942.0
