Word,Frequency
industrial,606365
shall,325327
commercial,169701
district,151475
use,127802
uses,124852
user,116706
city,108115
may,104471
discharge,102165
feet,96597
residential,95421
waste,94035
permit,88891
1,88014
water,80131
wastewater,78796
development,77926
c,70460
building,70228
public,67437
b,66198
2,65616
districts,64569
business,64051
area,63929
required,62867
within,62427
p,59589
sewer,58940
standards,57644
permitted,56842
users,55449
wastes,54064
requirements,53350
means,53322
zoning,53115
facilities,52930
property,52046
system,51860
per,49367
general,48861
land,48266
pretreatment,47423
following,46820
service,44987
3,44668
including,43664
areas,42460
one,41887
treatment,40804
sewage,40548
parking,39840
lot,39752
street,39171
provided,38911
used,38143
regulations,36829
buildings,36277
light,35718
manufacturing,34972
subject,34852
storage,34756
located,33964
office,33505
facility,33356
section,32624
minimum,32283
plan,31716
4,31103
construction,30943
potw,30385
zone,30166
e,29905
materials,29616
provide,29615
significant,28495
limited,28494
chapter,28154
square,28041
director,27873
5,27662
f,27576
except,27498
standard,27376
person,27249
new,27161
signs,27122
purpose,26919
site,26527
control,26269
include,25872
provisions,25706
sanitary,25454
special,25188
state,24949
sign,24705
park,24640
n,24637
space,24372
structure,24366
andor,24191
applicable,24163
compliance,24154
structures,23787
time,23360
must,23207
existing,23172
authority,23006
approved,22752
solid,22714
upon,22712
planned,22635
discharges,22335
accordance,22318
storm,22251
article,22000
application,21981
equipment,21441
unit,21351
40,21180
activities,21059
categorical,21036
10,20924
services,20888
height,20524
purposes,20475
see,20246
operation,20127
maximum,19800
yard,19741
6,19420
heavy,19176
works,19102
part,18988
established,18712
permits,18694
access,18514
set,18471
institutional,18211
less,18209
defined,18188
days,18128
process,18115
x,18071
prior,18020
discharged,17989
authorized,17693
stormwater,17579
approval,17544
sampling,17376
information,17237
line,17147
surface,17125
necessary,17067
two,17063
require,16907
flow,16873
accessory,16608
apply,16563
conditions,16539
premises,16502
prohibited,16442
dwelling,16347
proposed,16267
streets,16263
department,16195
also,16186
design,16109
additional,16108
plant,16104
limits,16095
least,16080
allowed,15976
owner,15689
municipal,15630
activity,15566
local,15498
disposal,15464
passed,15383
retail,15300
cfr,15158
floor,15101
zones,14972
division,14901
exceed,14867
charge,14836
fee,14717
issued,14621
unless,14573
violation,14498
amended,14418
loading,14406
date,14309
50,14250
table,14208
act,14195
processing,14178
location,14117
domestic,14084
operations,14068
board,14025
units,13973
type,13966
community,13927
town,13912
intended,13865
collection,13814
pollutant,13770
adjacent,13747
designed,13684
cause,13670
federal,13663
pollutants,13566
establishments,13456
private,13446
total,13437
sales,13427
lots,13357
products,13353
liquid,13310
20,13302
designated,13273
forth,13269
material,13256
pursuant,13241
establishment,13203
side,13127
appropriate,12962
30,12943
review,12920
100,12892
classification,12879
without,12768
mean,12739
vehicle,12707
agricultural,12651
nonresidential,12650
maintenance,12632
connection,12580
five,12572
hazardous,12533
comply,12513
sewers,12509
r,12506
15,12503
similar,12495
subdivision,12458
code,12358
source,12348
specific,12321
open,12314
commission,12302
determined,12284
natural,12269
7,12251
order,12222
properties,12199
multifamily,12186
fire,12102
8,12012
submit,11904
report,11890
waters,11866
period,11797
i1,11781
made,11711
g,11698
charges,11671
otherwise,11650
drainage,11639
number,11627
whether,11518
principal,11480
monitoring,11457
center,11436
health,11407
home,11319
protection,11236
requirement,11224
fees,11124
ordinance,11075
spaces,11030
zoned,11005
said,10943
conditional,10928
25,10922
planning,10903
percent,10896
council,10867
meet,10778
cost,10764
either,10749
village,10704
day,10681
12,10628
addition,10393
l,10303
plans,10263
agency,10260
effective,10239
listed,10213
concentration,10206
three,10199
offstreet,10172
average,10062
utility,10009
notice,10000
rate,9996
mixed,9974
township,9958
management,9952
environmental,9934
garbage,9905
specified,9876
size,9856
procedures,9801
processes,9745
h,9744
includes,9714
vehicles,9703
outdoor,9683
i2,9644
overlay,9638
width,9616
hundred,9573
ground,9569
individual,9488
front,9457
form,9452
traffic,9445
thereof,9410
enforcement,9396
citys,9382
subsection,9367
developments,9336
representative,9331
map,9313
industry,9272
schedule,9269
production,9260
systems,9257
nature,9245
based,9232
manager,9225
related,9219
greater,9210
road,9189
repair,9158
research,9127
safety,9058
gallons,8999
single,8924
1000,8923
neighborhood,8877
owned,8862
considered,8817
refuse,8721
parcel,8673
setback,8665
adopted,8602
county,8579
major,8558
intent,8555
written,8538
housing,8530
reports,8527
noise,8493
high,8485
maintained,8485
temporary,8478
separate,8450
limitations,8422
pollution,8360
constructed,8358
follows,8342
every,8249
obtain,8225
gross,8209
persons,8199
regulated,8161
food,8107
volume,8102
rear,8086
project,8072
singlefamily,8066
rightofway,8050
highway,8039
along,8037
character,8013
portion,7997
sale,7996
wall,7991
landscaping,7986
parks,7983
acres,7959
types,7938
plants,7898
containing,7881
herein,7851
inspection,7840
superintendent,7827
characteristics,7812
analysis,7809
ch,7795
npdes,7791
associated,7772
9,7763
case,7731
ii,7704
specifically,7683
yards,7655
terms,7621
agreement,7475
quality,7453
dwellings,7422
sq,7416
change,7386
title,7381
reasonable,7367
outside,7351
first,7330
place,7266
certain,7254
level,7238
amount,7230
solids,7225
family,7213
prevent,7194
program,7180
density,7156
wholesale,7148
discharging,7148
submitted,7147
available,7118
national,7109
contained,7108
would,7095
recovery,7054
ten,7038
employees,7022
term,7008
transportation,6974
distribution,6970
determine,6969
sites,6966
lines,6953
law,6948
resulting,6934
potential,6933
adequate,6926
manner,6886
costs,6826
recreational,6825
noncompliance,6804
assembly,6802
epa,6797
base,6781
cooling,6728
right,6690
year,6669
m1,6652
performance,6652
institutions,6599
notification,6589
plus,6579
commercialindustrial,6576
60,6542
gas,6487
mobile,6477
criteria,6471
deemed,6466
frontage,6463
action,6444
supply,6413
normal,6374
equivalent,6373
residence,6344
drain,6336
runoff,6325
engineer,6319
screening,6315
point,6307
developed,6302
professional,6275
real,6270
basis,6268
fence,6251
allow,6249
maintain,6246
strength,6234
trade,6224
request,6206
utilities,6187
six,6148
together,6144
occupancy,6136
reserved,6135
class,6107
borough,6095
work,6088
businesses,6084
devices,6080
li,6080
primary,6070
chemical,6060
combination,6052
described,6039
well,6037
group,6002
statement,5983
200,5978
central,5975
medical,5960
four,5953
administrative,5953
large,5951
protect,5950
sources,5933
directly,5927
event,5908
