Measure,Initial match,Weighted match (weight value in parentheses),Notes
Restrict single-family permits,"residential subdivision building permits, unit ceiling, growth management, growth control, growth rate, development approvals","Limit (1), growth management (3), growth control (3), growth (1.5), scheduled development (1), maximum (2), no more (1), population (1), annual (1), year (1), fixed (2), controlled (2), quota (2), moratorium (2), allocate (2), cap (2), approved (1), calculation (1)","Standard construction; we manually correct false positive flags for four municipalities (Orlando, FL; Palm Beach Gardens, FL; Winstom-Salem, NC; Barre, MA)"
Restrict multi-family permits,"residential subdivision building permits, unit ceiling, growth management, growth control, growth rate, development approvals","Limit (1), growth management (3), growth control (3), growth (1.5), scheduled development (1), maximum (2), no more (1), population (1), annual (1), year (1), fixed (2), controlled (2), quota (2), moratorium (2), allocate (2), cap (2), approved (1), calculation (1)","Standard construction; we manually correct false positive flags for four municipalities (Orlando, FL; Palm Beach Gardens, FL; Winstom-Salem, NC; Barre, MA)"
Limit single-family units,"unit ceiling, growth management, growth control, growth rate, development approvals","Construction (1), unit (1), dwelling (1), limit (1), growth management (3), growth control (3), growth (1.5), scheduled development (2), maximum (2), population (1), annual (1), year (1), fixed (2), controlled (1), quota (1), moratorium (2), allocate (1), cap(2), approved (1)","Standard construction; we manually correct false positive flags for four municipalities (Orlando, FL; Palm Beach Gardens, FL; Winstom-Salem, NC; Barre, MA)"
Limit multi-family units,"unit ceiling, growth management, growth control, growth rate, development approvals","Construction (1), unit (1), dwelling (1), limit (1), growth management (3), growth control (3), growth (1.5), scheduled development (2), maximum (2), population (1), annual (1), year (1), fixed (2), controlled (1), quota (1), moratorium (2), allocate (1), cap(2), approved (1)","Standard construction; we manually correct false positive flags for four municipalities (Orlando, FL; Palm Beach Gardens, FL; Winstom-Salem, NC; Barre, MA)"
Limit multi-family dwellings,"unit ceiling, growth management, growth control, growth rate, development approvals","Restricted (1), allowable (1), limit (1), growth management (3), growth control (3), growth (1), scheduled development (1), maximum (2), no more (1), population (1), fixed (1), controlled (2), quota (2), moratorium (2), allocate (1), annual (1), year (1), cap (2), approved (1), calculation (1), dwellings (1)","Standard construction; we manually correct false positive flags for three municipalities (Orlando, FL; Winstom-Salem, NC; Barre, MA)"
Limit multi-family dwelling units,"unit ceiling, dwelling units per building, growth management, growth control, growth rate, development approvals, minimum additional lot area","Restricted (1), allowable (1), limit (1), growth management (3), growth control (3), growth (1), scheduled development (1), maximum (2), no more (1), population (1), fixed (1), controlled (2), quota (2), moratorium (2), allocate (1), annual (1), year (1), cap (2), approved (1), calculation (1), dwelling units (1)","Standard construction; we manually correct false positive flags for two municipalities (Orlando, FL; Winstom-Salem, NC)"
Minimum lot size,"lot area, lot size, lot, area of parcel, zoning district, residential zones, residential district, residential district r-1 residential district r-a, schedule of, residential r-2 district, residential r-3, district, residential r-4 district, dimension regulations, lot require, lot yard and density regulations, dimensional regulations, dimensional require, dimensional and density regulations, development standards, intensity of use, dimensional control, zone dwelling family size, intensity regulations, dimensional standards, dimension restrictions, parcel size, maximum density, density, minimum building site area, bulk and replacement',
 maximum unit allowed, height and area regulations, area and bulk schedule, area and bulk standards, district design require, height and area require, lot and bulk standards, height and lot require, area setback and height require, height area and yard require, bulk and area regulations, density schedule, dimensional table, height and yard require, bulk and yard regulations, spatial require, zoning district schedules, lot standards by zone, development regulations, lot dimension and intensity standards,
 density and bulk require, bulk regulations, bulk and placement regulations, minimum lot size per dwelling unit, bulk and coverage controls, bulk require, land space require, lot area frontage and yard require, yard and height require, lot standards matrix, area yard and height standards, area yard and height regulations, other dimensions and space require, area, yard and height regulations, bulk and area standards, development criteria district, zone standards, height limit lot sizes and coverage, land use district and allowable uses, summary of zoning district require, bulk and setback regulations, residential bulk chart, bulk matrix, bulk yard and space require, residential uses and require, zoning district regulation chart, density regulations, standards for principal buildings on individual lots, lot and yard require, lot yard area and height require, area yard and height require, 'site dimensions, density dimensions and other standards, districts, density and intensity limit, bulk schedules","Minimum (3), lot size (2), lot area (2), lot (1), building area (2), acreage (2), shall be (1), require (1)
  
 For particular minimum lot sizes, match on the following terms: 
 Acre, ac., ac, square feet, sf, s.f., sq.feet, sq ft, square, for each dwelling unit,
 sq. feet, per dwelling unit
  
 Additional search terms for dimensional tables: minimum lot area per dwelling unit, area per dwelling unit, 
 minimum lot area per family, minimum lot area per dwelling, 
 minimum lot area per du, area of lot, area/du, 
 minimum lot area per unit, lot area per unit, 
 minimum lot size, min. lot area, minimum lot area, minimum lot, lot minimums, lot area, 
 minimum size lot per unit, lot area minimum, 
 minimum size lot, minimum size per zoning lot, lot size, area in square feet per additional family, square feet, square feet per dwelling unit, square feet/dwelling unit, square feet per additional family, area in square feet, 
 area, per family, per unit, minimum lot require, maximum density, single family, minimum parcel size, minimum net site area, lot areas
  
 Additional search terms for in-text:
 1 du/, 1 dwelling unit per, 1 dwelling per, 1 unit per x acres, 
 minimum, not less, no less, lot size, lot area, lot surface area, 
 lot with septic, r-x residential, area:, 1 unit/ x acres, 1 unit to x acres, single family dwelling, 
 lot shall have an area of not less than, an area of not less than, zoning lots not less than, 
 no zoning lot less than, 1 dwelling unit per existing lot, total area of each lot not less than, 
 no lot shall be created which contains, in no case will a lot be platted with less than, 
 residential dwelling unit on x acres, residential dwelling on x acres, land area per dwelling, shall contain at least, residential dwelling unit on x acres, residential dwelling on x acres","For acres, matches above 5 are not allowed unless the context suggests the text refers to rural or agricultural districts, in which case matches of up to 50 acres are permitted. 
  
 For square feet, matches below 2,000 are not permitted, unless the context specifies a per-unit measure. Matches below 1,000 or above 217,800 are not permitted in any circumstance. If the context suggests the text refers to multi-family housing, matches over 15,000 are not permitted."
Maximum permitted density,"lot area, lot size, lot, multiple dwelling, zoning district, residential district, residential district r-1, height and lot require, zoning district schedules, residential district r-a, residential r-2 district, residential r-3 district, residential r-4 district, land area provide for each dwelling unit, dimensional table, dimension regulations, dimensional regulations, dimensional require, zone dwelling family size, lot yard and density regulations, area setback and height require, spatial require, dimensional and density regulations, intensity of use, dimensional controls, area and bulk standards, development standards, intensity regulations, dimensional standards, dimension restrictions, schedule of, maximum permitted residential density, maximum allowable residential density, maximum permitted density, maximum allowable density, maximum density, density, residential acreage dwelling unit, lot require, height and area regulations, height and yard require, height area and yard require, bulk yard and space require,
 multi family, density schedule, maximum unit allowed, residential uses and require, acre\/dwelling unit, per dwelling unit, for each dwelling unit, bulk and replacement, dwelling unit per acre, square feet\/dwelling unit, unit\/net acre, district design require, height and area require, lot and bulk standards, bulk require, bulk and yard regulations, density regulations,
 bulk and area regulations, lot standards by zone, summary of zoning district require, development regulations, lot dimension and intensity standards, density and bulk require, bulk regulations, bulk and placement regulations, minimum lot size per dwelling unit, land space require, lot area frontage and yard require, yard and height require, lot standards matrix, area yard and height standards, area yard and height regulations, bulk and coverage controls, density dimensions and other standards, other dimensions and space require, area, yard and height regulations, bulk and area standards, development criteria district, zone standards, height limit lot sizes and coverage, land use district and allowable uses, zoning district regulation chart, site dimensions, bulk and setback regulations, residential bulk chart, bulk matrix, standards for principal buildings on individual lots, area and bulk schedule, lot and yard require, lot yard area and height require, area yard and height require, districts:, density and intensity limit, bulk schedules","For particular maximum permitted densities, match on the following terms: 
  
 Dwelling unit per net acre, unit per net acre, dwelling unit per acre, dwelling unit per each 1 net acre, dwelling unit per acre, unit per acre, unit/net acre, unit per gross acre, unit per net platted acre, du/gross acre, maximum dwelling unit per structure, maximum dwelling unit per gross acre, density per acre, maximum dwelling unit per buildable acre, up to x units, up to x dwelling units, square feet/du, x dwelling units, dwelling per gross acre, minimum number of unit, dwelling unit, dua
  
  
 Additional search terms for dimensional tables:
 maximum density, maximum net density","For square feet, matches below 2,000 are not permitted, unless the context specifies a per-unit measure. Matches below 380 are not permitted in any circumstance. If the context suggests the text refers to multi-family housing, matches over 15,000 are not permitted. 
  
 For units per acre, matches above 165 are not permitted. 
  
 If no maximum permitted density information is collected, the information is imputed from minimum lot size information."
Open space requirements,Open space,"open space (2), at least (1), no less (1), minimum amount (1), minimum of (1), percent (1), in lieu (1.5), set aside (1), pay (1), fee (1), preserve (1), require amount (1.5), require (1), contribute (1), dedicate (1), reserve (1), provide (1), devoted (1)",Standard construction
Inclusionary zoning programs,"Inclusionary, affordable, mixed income housing, low cost housing","Inclusionary (3), affordable (3), affordability (2), mixed income housing (2.5) nonprofit housing (2.5) workforce housing (2.5), low cost housing (2.5), set aside (2),in lieu (2), defer (2), waive (2), waiver (2), impact fee (2), housing fee (2), density bonus (2.5), density bonuses (2.5), increase in density (2.5), density may be increased (2.5), additional densities (2.5), density increases (2.5), above the base density (2.5), height increase (2.5), require (1), reserve (1), refund (1), exempt (2),shall not apply (2), unit per acre (2), shall not be required (2), incentives (2), taxation (1), payments (1), parking (1), space per dwelling unit (0.5), additional (1), height (1.5), at least (1.5), deed restricted (1), percent (1)",Standard construction
