Location,Measure,Initial_Match,Num_Matches_Found,+-250_Text,Weights_Matches,Weight Values,Weight Result
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,entzoning regulations and zoning map  appeals  development agreements  general plan amendment  enforcement housing-related regulations  inclusionary housing require  affordable housing incentives  downtown housing conversion regulations  residential growth management regulations  residential occupancy standards  high-occupancy residential use regulations definitions  definitions purpose and organization  land use definitions (table 2-1: uses allowed by zone)  general definitions  airport overlay,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,entzoning regulations and zoning map  appeals  development agreements  general plan amendment  enforcement housing-related regulations  inclusionary housing require  affordable housing incentives  downtown housing conversion regulations  residential growth management regulations  residential occupancy standards  high-occupancy residential use regulations definitions  definitions purpose and organization  land use definitions (table 2-1: uses allowed by zone)  general definitions  airport overlay,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,entzoning regulations and zoning map  appeals  development agreements  general plan amendment  enforcement housing-related regulations  inclusionary housing require  affordable housing incentives  downtown housing conversion regulations  residential growth management regulations  residential occupancy standards  high-occupancy residential use regulations definitions  definitions purpose and organization  land use definitions (table 2-1: uses allowed by zone)  general definitions  airport overlay,"['growth', 'growth management']","[1.5, 3.0]",0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,entzoning regulations and zoning map  appeals  development agreements  general plan amendment  enforcement housing-related regulations  inclusionary housing require  affordable housing incentives  downtown housing conversion regulations  residential growth management regulations  residential occupancy standards  high-occupancy residential use regulations definitions  definitions purpose and organization  land use definitions (table 2-1: uses allowed by zone)  general definitions  airport overlay,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,entzoning regulations and zoning map  appeals  development agreements  general plan amendment  enforcement housing-related regulations  inclusionary housing require  affordable housing incentives  downtown housing conversion regulations  residential growth management regulations  residential occupancy standards  high-occupancy residential use regulations definitions  definitions purpose and organization  land use definitions (table 2-1: uses allowed by zone)  general definitions  airport overlay,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,onditions of approve which provide for the general health safety and welfare of residents displaced by the proposed development and to achieve the intent of general plan housing conservation policies and mitigate the loss of housing. ((exh. b) 2018) growth management regulations purpose and justification.  allocates.  periodic city council review and consideration of revisions.  purpose and justification. a.the regulations codified in this chapter are intended to assure that the rate of populati,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,onditions of approve which provide for the general health safety and welfare of residents displaced by the proposed development and to achieve the intent of general plan housing conservation policies and mitigate the loss of housing. ((exh. b) 2018) growth management regulations purpose and justification.  allocates.  periodic city council review and consideration of revisions.  purpose and justification. a.the regulations codified in this chapter are intended to assure that the rate of populati,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,onditions of approve which provide for the general health safety and welfare of residents displaced by the proposed development and to achieve the intent of general plan housing conservation policies and mitigate the loss of housing. ((exh. b) 2018) growth management regulations purpose and justification.  allocates.  periodic city council review and consideration of revisions.  purpose and justification. a.the regulations codified in this chapter are intended to assure that the rate of populati,"['growth', 'growth management']","[1.5, 3.0]",0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,onditions of approve which provide for the general health safety and welfare of residents displaced by the proposed development and to achieve the intent of general plan housing conservation policies and mitigate the loss of housing. ((exh. b) 2018) growth management regulations purpose and justification.  allocates.  periodic city council review and consideration of revisions.  purpose and justification. a.the regulations codified in this chapter are intended to assure that the rate of populati,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,onditions of approve which provide for the general health safety and welfare of residents displaced by the proposed development and to achieve the intent of general plan housing conservation policies and mitigate the loss of housing. ((exh. b) 2018) growth management regulations purpose and justification.  allocates.  periodic city council review and consideration of revisions.  purpose and justification. a.the regulations codified in this chapter are intended to assure that the rate of populati,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1, accommodate a reasonable share of expected state and regional growth. e.to avoid further imbalance between the availability of jobs and of housing within the city the general plan also manages expansion of growth-inducing activities. the burdens of growth management are not being placed solely on the residential sector since it largely responds to demands caused by other sectorsquare feetconsidering the likely levels of housing demand and construction throughout the housing market area nearly c,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1, accommodate a reasonable share of expected state and regional growth. e.to avoid further imbalance between the availability of jobs and of housing within the city the general plan also manages expansion of growth-inducing activities. the burdens of growth management are not being placed solely on the residential sector since it largely responds to demands caused by other sectorsquare feetconsidering the likely levels of housing demand and construction throughout the housing market area nearly c,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1, accommodate a reasonable share of expected state and regional growth. e.to avoid further imbalance between the availability of jobs and of housing within the city the general plan also manages expansion of growth-inducing activities. the burdens of growth management are not being placed solely on the residential sector since it largely responds to demands caused by other sectorsquare feetconsidering the likely levels of housing demand and construction throughout the housing market area nearly c,"['growth', 'growth management']","[1.5, 3.0]",0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1, accommodate a reasonable share of expected state and regional growth. e.to avoid further imbalance between the availability of jobs and of housing within the city the general plan also manages expansion of growth-inducing activities. the burdens of growth management are not being placed solely on the residential sector since it largely responds to demands caused by other sectorsquare feetconsidering the likely levels of housing demand and construction throughout the housing market area nearly c,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1, accommodate a reasonable share of expected state and regional growth. e.to avoid further imbalance between the availability of jobs and of housing within the city the general plan also manages expansion of growth-inducing activities. the burdens of growth management are not being placed solely on the residential sector since it largely responds to demands caused by other sectorsquare feetconsidering the likely levels of housing demand and construction throughout the housing market area nearly c,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,ling unit designed for occupancy by one household which is not attached to or located on a lot with commercial uses or other dwelling unit other than an accessory dwelling unit. for the purpose of accounting for housing unit pursuant to (residential growth management regulations) a single-unit dwelling may also include as an accessory use one legally established accessory dwelling unit. this definition also includes individual manufactured housing unit installed on a foundation system pursuant t,['growth management'],[3.0],0
CA_SanLuisObispo,1. Restrict NONE permits?*1.0,growth management,1,ling unit designed for occupancy by one household which is not attached to or located on a lot with commercial uses or other dwelling unit other than an accessory dwelling unit. for the purpose of accounting for housing unit pursuant to (residential growth management regulations) a single-unit dwelling may also include as an accessory use one legally established accessory dwelling unit. this definition also includes individual manufactured housing unit installed on a foundation system pursuant t,['growth management'],[3.0],0
